,datetime,open,high,low,close,volume
0,2022-01-26 08:31:00,2375.0,2399.62,2374.25,2399.5,4541
1,2022-01-26 08:32:00,2387.36,2399.52,2387.36,2399.52,500
2,2022-01-26 08:33:00,2381.91,2381.91,2376.59,2381.9,400
3,2022-01-26 08:34:00,2375.37,2378.64,2364.25,2371.49,1437
4,2022-01-26 08:35:00,2373.94,2375.35,2373.94,2375.35,200
5,2022-01-26 08:36:00,2376.79,2376.79,2368.57,2368.57,500
6,2022-01-26 08:37:00,2374.34,2374.34,2369.44,2369.44,200
7,2022-01-26 08:38:00,2374.93,2378.67,2374.93,2378.67,200
8,2022-01-26 08:39:00,2375.29,2388.7,2375.29,2388.7,1500
9,2022-01-26 08:40:00,2381.48,2386.45,2376.54,2382.66,1600
10,2022-01-26 08:41:00,2386.72,2386.72,2379.94,2381.22,500
11,2022-01-26 08:42:00,2384.95,2384.95,2384.95,2384.95,100
12,2022-01-26 08:43:00,2384.3,2387.54,2381.07,2384.99,600
13,2022-01-26 08:44:00,2388.04,2388.15,2385.19,2385.19,600
14,2022-01-26 08:45:00,2389.94,2392.0,2389.35,2391.87,500
15,2022-01-26 08:46:00,2396.91,2396.91,2396.9,2396.91,759
16,2022-01-26 08:47:00,2395.57,2399.87,2395.57,2399.04,1212
17,2022-01-26 08:48:00,2403.71,2404.49,2403.71,2404.49,200
18,2022-01-26 08:49:00,2403.89,2405.02,2397.19,2403.55,3900
19,2022-01-26 08:50:00,2399.88,2399.88,2399.88,2399.88,100
20,2022-01-26 08:51:00,2400.13,2400.39,2400.13,2400.39,300
21,2022-01-26 08:52:00,2399.72,2404.0,2399.72,2404.0,800
22,2022-01-26 08:53:00,2406.82,2406.82,2406.25,2406.31,300
23,2022-01-26 08:54:00,2408.04,2413.8,2408.04,2413.8,400
24,2022-01-26 08:55:00,2413.97,2424.68,2413.97,2418.48,2700
25,2022-01-26 08:56:00,2418.46,2419.41,2412.63,2419.41,400
26,2022-01-26 08:57:00,2416.85,2419.97,2416.84,2419.97,1700
27,2022-01-26 08:58:00,2419.88,2422.46,2414.78,2417.47,800
28,2022-01-26 08:59:00,2423.99,2423.99,2413.21,2416.47,800
29,2022-01-26 09:00:00,2415.08,2417.0,2410.01,2417.0,900
30,2022-01-26 09:01:00,2417.01,2417.01,2404.4,2408.02,1700
31,2022-01-26 09:02:00,2411.2,2411.2,2411.2,2411.2,100
32,2022-01-26 09:04:00,2415.53,2415.83,2414.95,2415.23,1000
33,2022-01-26 09:05:00,2413.73,2413.73,2413.1,2413.1,300
34,2022-01-26 09:06:00,2417.5,2417.5,2411.57,2414.32,300
35,2022-01-26 09:08:00,2414.02,2414.02,2414.02,2414.02,100
36,2022-01-26 09:10:00,2412.27,2412.82,2412.27,2412.82,200
37,2022-01-26 09:11:00,2412.99,2414.41,2410.19,2414.41,600
38,2022-01-26 09:12:00,2410.95,2412.1,2409.62,2412.1,400
39,2022-01-26 09:13:00,2410.64,2410.64,2409.93,2409.93,500
40,2022-01-26 09:14:00,2409.62,2409.74,2407.54,2409.74,700
41,2022-01-26 09:15:00,2410.45,2410.58,2407.76,2408.02,600
42,2022-01-26 09:16:00,2407.41,2407.41,2400.27,2400.86,2300
43,2022-01-26 09:17:00,2401.01,2403.01,2399.64,2403.01,400
44,2022-01-26 09:18:00,2402.7,2402.7,2401.26,2401.26,500
45,2022-01-26 09:19:00,2400.42,2400.42,2397.27,2397.27,600
46,2022-01-26 09:20:00,2397.62,2400.1,2397.62,2400.09,300
47,2022-01-26 09:21:00,2399.6,2402.27,2399.6,2401.81,1300
48,2022-01-26 09:22:00,2398.85,2399.89,2397.31,2397.52,700
49,2022-01-26 09:23:00,2399.44,2399.44,2399.44,2399.44,200
50,2022-01-26 09:24:00,2401.56,2401.56,2397.76,2397.76,200
51,2022-01-26 09:25:00,2395.0,2395.0,2395.0,2395.0,100
52,2022-01-26 09:26:00,2390.06,2391.86,2387.81,2390.55,900
53,2022-01-26 09:27:00,2391.62,2391.62,2386.29,2390.52,800
54,2022-01-26 09:30:00,2385.39,2385.39,2383.52,2384.02,300
55,2022-01-26 09:31:00,2387.71,2390.78,2387.71,2390.0,500
56,2022-01-26 09:32:00,2395.0,2395.0,2395.0,2395.0,100
57,2022-01-26 09:33:00,2392.1,2392.1,2392.1,2392.1,200
58,2022-01-26 09:34:00,2392.0,2392.0,2386.0,2391.98,1936
59,2022-01-26 09:35:00,2387.23,2387.23,2387.23,2387.23,100
60,2022-01-26 09:37:00,2387.15,2389.8,2387.15,2389.8,275
61,2022-01-26 09:39:00,2388.27,2391.79,2387.33,2391.67,600
62,2022-01-26 09:40:00,2388.42,2388.49,2383.21,2383.21,1500
63,2022-01-26 09:45:00,2388.83,2388.84,2383.79,2383.79,900
64,2022-01-26 09:47:00,2382.23,2382.23,2380.31,2380.31,600
65,2022-01-26 09:48:00,2378.4,2378.4,2378.18,2378.18,400
66,2022-01-26 09:49:00,2373.39,2377.75,2370.0,2372.89,1300
67,2022-01-26 09:50:00,2371.34,2371.34,2371.3,2371.3,200
68,2022-01-26 09:51:00,2373.5,2373.82,2373.5,2373.82,200
69,2022-01-26 09:52:00,2374.91,2377.55,2374.91,2376.48,335
70,2022-01-26 09:54:00,2378.13,2379.49,2378.13,2379.49,2300
71,2022-01-26 09:55:00,2379.52,2382.74,2379.09,2379.09,700
72,2022-01-26 09:57:00,2384.73,2387.36,2384.73,2387.14,500
73,2022-01-26 09:59:00,2387.99,2387.99,2387.99,2387.99,103
74,2022-01-26 10:00:00,2389.28,2389.28,2389.28,2389.28,100
75,2022-01-26 10:01:00,2385.93,2386.52,2385.93,2386.52,300
76,2022-01-26 10:03:00,2385.39,2385.39,2384.61,2384.61,200
77,2022-01-26 10:04:00,2384.49,2384.49,2382.5,2382.5,200
78,2022-01-26 10:05:00,2386.58,2386.69,2386.58,2386.69,200
79,2022-01-26 10:06:00,2387.56,2387.56,2387.56,2387.56,100
80,2022-01-26 10:07:00,2389.22,2389.22,2389.22,2389.22,100
81,2022-01-26 10:09:00,2388.51,2388.51,2387.76,2387.76,200
82,2022-01-26 10:10:00,2392.0,2393.72,2392.0,2393.72,200
83,2022-01-26 10:12:00,2396.92,2399.74,2396.92,2399.74,200
84,2022-01-26 10:17:00,2405.32,2405.32,2403.29,2403.29,200
