,altname,wsname,aclass_base,base,aclass_quote,quote,lot,pair_decimals,lot_decimals,lot_multiplier,leverage_buy,leverage_sell,fees,fees_maker,fee_volume_currency,margin_call,margin_stop,ordermin
STORJETH,STORJETH,STORJ/ETH,currency,STORJ,currency,XETH,unit,7,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,3
STORJEUR,STORJEUR,STORJ/EUR,currency,STORJ,currency,ZEUR,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,3
STORJUSD,STORJUSD,STORJ/USD,currency,STORJ,currency,ZUSD,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,3
STORJXBT,STORJXBT,STORJ/XBT,currency,STORJ,currency,XXBT,unit,9,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,3
SUPEREUR,SUPEREUR,SUPER/EUR,currency,SUPER,currency,ZEUR,unit,4,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,25
SUPERUSD,SUPERUSD,SUPER/USD,currency,SUPER,currency,ZUSD,unit,4,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,25
SUSHIEUR,SUSHIEUR,SUSHI/EUR,currency,SUSHI,currency,ZEUR,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,2.5
SUSHIGBP,SUSHIGBP,SUSHI/GBP,currency,SUSHI,currency,ZGBP,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,2.5
SUSHIUSD,SUSHIUSD,SUSHI/USD,currency,SUSHI,currency,ZUSD,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,2.5
SUSHIXBT,SUSHIXBT,SUSHI/XBT,currency,SUSHI,currency,XXBT,unit,7,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,2.5
TBTCETH,TBTCETH,TBTC/ETH,currency,TBTC,currency,XETH,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.0001
TBTCEUR,TBTCEUR,TBTC/EUR,currency,TBTC,currency,ZEUR,unit,1,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.0001
TBTCUSD,TBTCUSD,TBTC/USD,currency,TBTC,currency,ZUSD,unit,1,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.0001
TBTCXBT,TBTCXBT,TBTC/XBT,currency,TBTC,currency,XXBT,unit,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,0.0001
TEEREUR,TEEREUR,TEER/EUR,currency,TEER,currency,ZEUR,unit,4,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.5
TEERUSD,TEERUSD,TEER/USD,currency,TEER,currency,ZUSD,unit,4,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.5
TEUR,TEUR,T/EUR,currency,T,currency,ZEUR,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TLMEUR,TLMEUR,TLM/EUR,currency,TLM,currency,ZEUR,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TLMUSD,TLMUSD,TLM/USD,currency,TLM,currency,ZUSD,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TOKEEUR,TOKEEUR,TOKE/EUR,currency,TOKE,currency,ZEUR,unit,2,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.3
TOKEUSD,TOKEUSD,TOKE/USD,currency,TOKE,currency,ZUSD,unit,2,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.3
TRIBEEUR,TRIBEEUR,TRIBE/EUR,currency,TRIBE,currency,ZEUR,unit,4,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,10
TRIBEUSD,TRIBEUSD,TRIBE/USD,currency,TRIBE,currency,ZUSD,unit,4,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,10
TRXETH,TRXETH,TRX/ETH,currency,TRX,currency,XETH,unit,8,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TRXEUR,TRXEUR,TRX/EUR,currency,TRX,currency,ZEUR,unit,6,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TRXUSD,TRXUSD,TRX/USD,currency,TRX,currency,ZUSD,unit,6,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TRXXBT,TRXXBT,TRX/XBT,currency,TRX,currency,XXBT,unit,10,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TUSD,TUSD,T/USD,currency,T,currency,ZUSD,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TVKEUR,TVKEUR,TVK/EUR,currency,TVK,currency,ZEUR,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
TVKUSD,TVKUSD,TVK/USD,currency,TVK,currency,ZUSD,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,50
UMAEUR,UMAEUR,UMA/EUR,currency,UMA,currency,ZEUR,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,1
UMAUSD,UMAUSD,UMA/USD,currency,UMA,currency,ZUSD,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,1
UNFIEUR,UNFIEUR,UNFI/EUR,currency,UNFI,currency,ZEUR,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,2
UNFIUSD,UNFIUSD,UNFI/USD,currency,UNFI,currency,ZUSD,unit,3,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,2
UNIETH,UNIETH,UNI/ETH,currency,UNI,currency,XETH,unit,5,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
UNIEUR,UNIEUR,UNI/EUR,currency,UNI,currency,ZEUR,unit,3,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
UNIUSD,UNIUSD,UNI/USD,currency,UNI,currency,ZUSD,unit,3,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
UNIXBT,UNIXBT,UNI/XBT,currency,UNI,currency,XXBT,unit,7,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
USDAED,USDAED,USD/AED,currency,ZUSD,currency,AED,unit,3,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDCAUD,USDCAUD,USDC/AUD,currency,USDC,currency,ZAUD,unit,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDCEUR,USDCEUR,USDC/EUR,currency,USDC,currency,ZEUR,unit,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDCGBP,USDCGBP,USDC/GBP,currency,USDC,currency,ZGBP,unit,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDCHF,USDCHF,USD/CHF,currency,ZUSD,currency,CHF,unit,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDCUSD,USDCUSD,USDC/USD,currency,USDC,currency,ZUSD,unit,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDCUSDT,USDCUSDT,USDC/USDT,currency,USDC,currency,USDT,unit,4,8,1,"[2, 3, 4, 5]","[2, 3, 4, 5]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDTAUD,USDTAUD,USDT/AUD,currency,USDT,currency,ZAUD,unit,4,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDTCAD,USDTCAD,USDT/CAD,currency,USDT,currency,ZCAD,unit,4,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDTCHF,USDTCHF,USDT/CHF,currency,USDT,currency,CHF,unit,5,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDTEUR,USDTEUR,USDT/EUR,currency,USDT,currency,ZEUR,unit,4,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDTGBP,USDTGBP,USDT/GBP,currency,USDT,currency,ZGBP,unit,4,8,1,"[2, 3, 4]","[2, 3, 4]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDTJPY,USDTJPY,USDT/JPY,currency,USDT,currency,ZJPY,unit,3,8,1,"[2, 3]","[2, 3]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USDTZUSD,USDTUSD,USDT/USD,currency,USDT,currency,ZUSD,unit,4,8,1,[2],[2],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,5
USTEUR,USTEUR,UST/EUR,currency,UST,currency,ZEUR,unit,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,100
USTUSD,USTUSD,UST/USD,currency,UST,currency,ZUSD,unit,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,100
USTUSDC,USTUSDC,UST/USDC,currency,UST,currency,USDC,unit,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,100
USTUSDT,USTUSDT,UST/USDT,currency,UST,currency,USDT,unit,5,8,1,[],[],"[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]","[[0, 0.2], [50000, 0.16], [100000, 0.12], [250000, 0.08], [500000, 0.04], [1000000, 0.0]]",ZUSD,80,40,100
WAVESETH,WAVESETH,WAVES/ETH,currency,WAVES,currency,XETH,unit,7,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
WAVESEUR,WAVESEUR,WAVES/EUR,currency,WAVES,currency,ZEUR,unit,4,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
WAVESUSD,WAVESUSD,WAVES/USD,currency,WAVES,currency,ZUSD,unit,4,8,1,"[2, 3]","[2, 3]","[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
WAVESXBT,WAVESXBT,WAVES/XBT,currency,WAVES,currency,XXBT,unit,8,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.2
WBTCEUR,WBTCEUR,WBTC/EUR,currency,WBTC,currency,ZEUR,unit,1,8,1,[],[],"[[0, 0.26], [50000, 0.24], [100000, 0.22], [250000, 0.2], [500000, 0.18], [1000000, 0.16], [2500000, 0.14], [5000000, 0.12], [10000000, 0.1]]","[[0, 0.16], [50000, 0.14], [100000, 0.12], [250000, 0.1], [500000, 0.08], [1000000, 0.06], [2500000, 0.04], [5000000, 0.02], [10000000, 0.0]]",ZUSD,80,40,0.0001
